"NoW March 6, 2019",,0
GAMES,,0
Epic Games is now being sued over loot boxes in Fortnite: Save the World ,,http://www.gamasutra.com/view/news/338124/Epic_Games_is_now_being_sued_over_loot_boxes_in_Fortnite_Save_the_World.php
Epic Games sued over ‘predatory’ Llama loot boxes: Even though randomized llama loot boxes aren’t a thing anymore,,https://www.theverge.com/2019/2/28/18245574/fortnite-epic-games-sued-lawsuit-predatory-llama-loot-boxes
"California man sues Epic Games over ""predatory"" loot boxes: Complaint alleges Save the World's loot llamas were ""like playing a slot machine""",,https://www.gamesindustry.biz/articles/2019-03-01-california-man-sues-epic-games-over-predatory-loot-boxes
Shakedown: Hawaii coming first to the Epic Games Store ,,http://www.gamasutra.com/view/news/338026/Shakedown_Hawaii_coming_first_to_the_Epic_Games_Store.php
Kartridge is the latest PC storefront using exclusive games to entice players ,,http://www.gamasutra.com/view/news/338123/Kartridge_is_the_latest_PC_storefront_using_exclusive_games_to_entice_players.php
Unpacking Recent Loot Box Updates ,,https://www.lexology.com/library/detail.aspx?g=d5e07b62-6484-44d8-b815-edc2fdd094d0
"Anthem: Bioware Addresses Fan Concerns With Loot Update, Here's What It Changes",,https://ca.ign.com/articles/2019/02/28/bioware-addresses-anthem-loot-fan-concerns-with-update-heres-what-it-changes
"Anthem is crashing entire PlayStation 4 systems, say players ",,http://www.gamasutra.com/view/news/337929/Anthem_is_crashing_entire_PlayStation_4_systems_say_players.php
EA soliciting help from Anthem players to figure out PS4 crashing issues ,,http://www.gamasutra.com/view/news/338027/EA_soliciting_help_from_Anthem_players_to_figure_out_PS4_crashing_issues.php
Sony begins refunding Anthem purchases in light of “full power down” reports,,https://arstechnica.com/gaming/2019/03/sony-begins-refunding-anthem-purchases-in-light-of-full-power-down-reports/
"How games whitewash Nazism, and the responsibility developers have to history: Through the Darkest of Times devs explore the industry's dangerous failure when it comes to depicting fascism",,https://www.gamesindustry.biz/articles/2019-02-28-how-games-whitewash-nazism-and-the-responsibility-developers-have-to-history
"One week later, THQ Nordic disavows 8chan AMA",,https://arstechnica.com/gaming/2019/03/thq-nordic-parent-corp-issues-formal-apology-for-8chan-ama/
THQ Nordic group CEO apologizes for perturbing 8chan AMA ,,http://www.gamasutra.com/view/news/337907/THQ_Nordic_group_CEO_apologizes_for_perturbing_8chan_AMA.php
"THQ Nordic parent company apologizes for 8chan AMA: Co-founder and CEO Lars Wingefors ""condemns all unethical content this website stands for"", regrets implicit endorsement",,https://www.gamesindustry.biz/articles/2019-03-04-thq-nordic-parent-company-apologizes-for-8chan-ama
"Valve bans sexual violence game from Steam, but stops short of condemning it ",,http://www.gamasutra.com/view/news/338127/Valve_bans_sexual_violence_game_from_Steam_but_stops_short_of_condemning_it.php
Steam is in the rape fantasy business | Opinion - Upcoming visual novel highlights the problems with Valve's refusal to apply content standards to its storefront,,https://www.gamesindustry.biz/articles/2019-03-05-steam-is-in-the-rape-fantasy-business-opinion
Developers are manipulating Steam's Popular Upcoming list,,https://www.gamesindustry.biz/articles/2019-03-06-developers-are-manipulating-steams-popular-upcoming-list
"Academics call for industry co-operation on gaming disorder: ""We are scrabbling around in the dark here, lighting little matches and seeing tiny bits of the pictures around us,"" says Dr David Zendle.",,https://www.gamesindustry.biz/articles/2019-03-06-academics-call-for-industry-co-operation-on-gaming-disorder
Nintendo to smartphone game makers: You can only gouge our players so much,,https://arstechnica.com/gaming/2019/03/nintendo-to-smartphone-game-makers-you-can-only-gouge-our-players-so-much/
Report: Nintendo is telling mobile development partners to stop players overspending ,,http://www.gamasutra.com/view/news/338085/Report_Nintendo_is_telling_mobile_development_partners_to_stop_players_overspending.php
"Average Nintendo Japan employee earns $80,000, works less than 8 hours per day: Platform holder's recruitment page also reveals average worker spends 13.5 years at the company",,https://www.gamesindustry.biz/articles/2019-03-01-average-nintendo-japan-employee-earns-usd80-000-working-less-than-eight-hours-per-day
Nintendo’s first VR product in 24 years is coming to Nintendo Switch,,https://arstechnica.com/gaming/2019/03/nintendos-first-vr-product-in-24-years-is-coming-to-nintendo-switch/
"Newzoo: Games are the third most-popular mobile app category - Half of mobile app users at least check into gaming apps, social media and shopping remain more popular",,https://www.gamesindustry.biz/articles/2019-03-05-newzoo-games-are-the-third-most-popular-mobile-app-category
Fortnite teams with Weezer in attempt to become the next Second Life: Follows record-breaking stream of DJ Marshmello concert inside its battlegrounds.,,https://arstechnica.com/gaming/2019/03/fortnite-teams-with-weezer-in-attempt-to-become-the-next-second-life/
Vivendi has sold off its final Ubisoft shares ,,http://www.gamasutra.com/view/news/338021/Vivendi_has_sold_off_its_final_Ubisoft_shares.php
Vivendi sells remaining Ubisoft shares: Media conglomerate ultimately gained €1.2 billion from failed attempt to acquire publisher,,https://www.gamesindustry.biz/articles/2019-03-05-vivendi-sells-remaining-ubisoft-shares
"There's confusion around an unofficial adaptation of One Hour One Life, says dev ",,http://www.gamasutra.com/view/news/337856/Theres_confusion_around_an_unofficial_adaptation_of_One_Hour_One_Life_says_dev.php
One Hour One Life dev struggles with unofficial port: Jason Rohrer stands by decision to release game into the public domain despite problems with customer confusion around mobile adaptation,,https://www.gamesindustry.biz/articles/2019-03-05-one-hour-one-life-dev-struggles-with-unauthorized-port
Multiplayer Skyrim mod criticized for lifting code from another mod ,,http://www.gamasutra.com/view/news/338014/Multiplayer_Skyrim_mod_criticized_for_lifting_code_from_another_mod.php
Devil May Cry 5 deluxe edition will let players experience the game like a low-budget movie ,,http://www.gamasutra.com/view/news/338000/Devil_May_Cry_5_deluxe_edition_will_let_players_experience_the_game_like_a_lowbudget_movie.php
How Artificial Intelligence Will Revolutionize The Way Video Games Are Developed And Played: The advances of modern AI research could bring unprecedented benefits to game development­­­,,https://www.theverge.com/2019/3/6/18222203/video-game-ai-future-procedural-generation-deep-learning
"Duplication or innovation? How games become genres: Earthbound Games' Colin Anderson reflects on the rise of the FPS, the sandbox RPG and more",,https://www.gamesindustry.biz/articles/2019-02-28-duplication-or-innovation-how-games-become-genres
   ,,0
A new triple-A Star Wars game will be announced at Celebration Chicago in April,,https://arstechnica.com/gaming/2019/02/apex-legends-developer-respawn-will-reveal-its-star-wars-game-on-april-13/
What Star Wars Jedi: Fallen Order is and how it could change EA,,https://venturebeat.com/2019/02/28/what-star-wars-jedi-fallen-order-is-and-how-it-could-change-ea/
Apex Legends attracts 50 million players in first month ,,0
