"NoW March 27, 2019",0
GAMES,0
Blog: How games software and hardware could top $200 billion by 2023 ,http://www.gamasutra.com/blogs/TimMerel/20190322/339148/Games_softwarehardware_to_top_200_billion_by_2023_despite_shortterm_questions.php
Opinion: After Christchurch - What we owe our game communities ,http://www.gamasutra.com/view/news/339156/Opinion_After_Christchurch__What_we_owe_our_game_communities.php
"""If we make room for them, then there is no room for anyone else"": IGF Award host Meg Jayanth calls for devs to reject fascists, demand better treatment for themselves and their colleagues",https://www.gamesindustry.biz/articles/2019-03-21-if-we-make-room-for-them-then-there-is-no-room-for-anyone-else
"#1ReasonToBe: ""Inclusivity is a battle we can win"": Rami Ismail's final stint hosting the panel shares the stories of a refugee turns games developer, an Egyptian woman who refused to let a visa rejection silence her, and more",https://www.gamesindustry.biz/articles/2019-03-27-1reasontobe-inclusivity-is-a-battle-we-can-win
Overwatch saw 40% less disruptive behavior with the endorsement system,http://gamasutra.com/view/news/339159/Overwatch_saw_40_less_disruptive_behavior_with_the_endorsement_system.php
PUBG Corp and NetEase settle Battlegrounds lawsuit ,http://www.gamasutra.com/view/news/339290/PUBG_Corp_and_NetEase_settle_Battlegrounds_lawsuit.php
"PUBG Corp, NetEase settle copyright lawsuit: After suit alleging Knives Out, Rules of Survival copied PUBG and countersuit against ""shameless attempt"" at genre monopoly, companies now dismissing cases",https://www.gamesindustry.biz/articles/2019-03-25-pubg-corp-netease-settle-copyright-lawsuit
Madden Litigation Sputters Out With Settlement,https://www.lexology.com/library/detail.aspx?g=3ae4e44d-33b4-4c28-8747-274bf2684ddb
"EA Lays Off 350 People In Marketing, Publishing, And More",https://kotaku.com/ea-lays-off-350-people-in-marketing-publishing-analyt-1833575289
"EA lays off 350 staff in marketing, publishing, and operations ",http://www.gamasutra.com/view/news/339420/EA_lays_off_350_staff_in_marketing_publishing_and_operations.php
EA closes Japan and Russia offices amid mass layoffs ,http://www.gamasutra.com/view/news/339542/EA_closes_Japan_and_Russia_offices_amid_mass_layoffs.php
"EA lays off 350 amid major organizational changes: Company reorganizing marketing, publishing, operations teams, decreases presence in Japan and Russia",https://www.gamesindustry.biz/articles/2019-03-26-ea-lays-off-350-amid-major-organizational-changes
"Electronic Arts closes Japan office as part of mass layoffs: Russian division also appears to be shuttering with operations moving to larger, regional office",https://www.gamesindustry.biz/articles/2019-03-27-electronic-arts-closes-japan-office-as-part-of-mass-layoffs
EA signs publishing deal with Vicarious Visions founders ,http://www.gamasutra.com/view/news/339312/EA_signs_publishing_deal_with_Vicarious_Visions_founders.php
Sega removing actor from Western version of Judgmentafter drug scandal ,http://www.gamasutra.com/view/news/339188/Sega_removing_actor_from_Western_version_of_Judgment_after_drug_scandal.php
Judgment has sold through 97% of stock following controversy ,http://www.gamasutra.com/view/news/339435/Judgment_has_sold_through_97_of_stock_following_controversy.php
“Hard Rock” Hamilton Says Microsoft Can’t Leave Gears of War Lawsuit,https://www.lexology.com/library/detail.aspx?g=68b974e3-8ced-4061-bea9-48623ff1d43f
"Judgement sales surge following voice actor drug charge controversy: There was “no correct way to deal with the situation,” says Sega chief creative officer",https://www.gamesindustry.biz/articles/2019-03-27-judgement-sees-sales-rocket-following-voice-actor-drug-charge-controversy
Labor organizers share insight and tips on unionizing the game industry ,http://www.gamasutra.com/view/news/339204/Labor_organizers_share_insight_and_tips_on_unionizing_the_game_industry.php
Roblox on creating kinder communities,http://www.gamesindustry.biz/articles/2019-03-22-roblox-on-creating-kinder-communities
"Game source code is a teaching tool, not a trade secret, argues VGHF founder ",http://www.gamasutra.com/view/news/339207/Game_source_code_is_a_teaching_tool_not_a_trade_secret_argues_VGHF_founder.php
Apple Finally Jumps Into Games with Subscription Service Featuring 100+ Exclusives,https://gizmodo.com/apple-finally-jumps-into-games-with-subscription-servic-1833548776
"Apple announces its own game subscription service, Apple Arcade ",http://www.gamasutra.com/view/news/339308/Apple_announces_its_own_game_subscription_service_Apple_Arcade.php
"Apple unveils Apple Arcade subscription service for iOS, Mac, Apple TV games",https://arstechnica.com/gadgets/2019/03/apple-unveils-apple-arcade-subscription-service-for-ios-mac-apple-tv-games/
Apple Arcade Games Subscription Service Announced,https://ca.ign.com/articles/2019/03/25/apple-arcade-games-subscription-service-announced
"Apple reveals game subscription service Apple Arcade: Program to launch this fall with focus on new, premium titles",https://www.gamesindustry.biz/articles/2019-03-25-apple-reveals-game-subscription-service-apple-arcade
"KO_OP, ustwo games announce Apple Arcade exclusives ",http://www.gamasutra.com/view/news/339319/KOOP_ustwo_games_announce_Apple_Arcade_exclusives.php
Opinion: A closer look at the strategy behind Apple Arcade ,http://www.gamasutra.com/view/news/339410/Opinion_A_closer_look_at_the_strategy_behind_Apple_Arcade.php
"Google Stadia Streaming Platform Launch, Game, And Feature Details Revealed",https://ca.ign.com/articles/2019/03/21/google-announces-its-video-game-platform-stadia
Google Exec On Stadia's Internet Speed Requirements,https://ca.ign.com/articles/2019/03/21/google-exec-on-stadias-internet-speed-requirements/
Hands-On With Google Stadia,https://ca.ign.com/articles/2019/03/21/hands-on-with-google-stadia/
Google Claims Stadia Is More Powerful Than PS4 And Xbox One Combined – GDC 2019,https://ca.ign.com/articles/2019/03/19/google-claims-stadia-is-more-powerful-than-ps4-and-xbox-one-combined-gdc-2019/
Google’s Stadia Could Take Video Games Out of Your Hands: The new streaming service could make owning a video game a thing of the past,https://onezero.medium.com/googles-stadia-could-take-video-games-out-of-your-hands-410bfa8f5bf8
"In Wake Of Google Stadia, Reports Suggest Walmart Is Exploring A Game Streaming Service",https://ca.ign.com/articles/2019/03/21/in-wake-of-google-stadia-reports-suggest-walmart-is-exploring-a-game-streaming-service/
Report: Walmart is looking to enter the game streaming business ,http://www.gamasutra.com/view/news/339138/Report_Walmart_is_looking_to_enter_the_game_streaming_business.php
Walmart exploring its own game streaming service – Report: Retail giant began talking to developers and publishers about its plans earlier this year,https://www.gamesindustry.biz/articles/2019-03-21-walmart-exploring-its-own-game-streaming-service-report
