"NoW January 9, 2019",0
GAMES,0
Bethesda resolves copyright lawsuit against Westworlddevs ,http://www.gamasutra.com/view/news/333752/Bethesda_resolves_copyright_lawsuit_against_Westworld_devs.php
"Bethesda, Behaviour Interactive resolve copyright infringement dispute: Lawsuit over similarities between Fallout Shelter and Westworld game settled ""amicably""",https://www.gamesindustry.biz/articles/2019-01-03-bethesda-behaviour-interactive-resolve-copyright-infringement-dispute
Challenges in Filing Successful IPR Petitions for Video Game Patents ,https://www.lexology.com/library/detail.aspx?g=085d8d03-d814-41ee-9940-b9194226ca90
"Supercell Oy v. Gree, Inc. (December 17, 2018 Patent Trial and Appeal Board, USPTO)",https://www.lawofthelevel.com/wp-content/uploads/sites/187/2019/01/PTAB-PGR2018-00066-7.pdf
A Patent on Games? No Dice.,https://www.lexology.com/library/detail.aspx?g=d3c39ca3-b631-4d8c-aea7-bca9f4537fab
"In Re: Marco Guldenaar Holding B.V. (December 28, 2018,  United States Court of Appeals for the Federal Circuit)",http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/17-2465.Opinion.12-28-2018.pdf
Japan has made reselling digital game keys illegal without creator's permission ,http://www.gamasutra.com/view/news/333748/Japan_has_made_reselling_digital_game_keys_illegal_without_creators_permission.php
"Reselling game keys now illegal in Japan: Updated law also forbids save modding, punishment ranges from ¥5 million fine to five years in jail",https://www.gamesindustry.biz/articles/2019-01-03-reselling-game-keys-now-illegal-in-japan
"""Not enough evidence"" that screen time is harmful to children: UK's first screen time guidance report recommends parents manage gaming and TV sessions based on kids' individual needs",https://www.gamesindustry.biz/articles/2019-01-04-not-enough-evidence-that-screen-time-is-harmful-to-children
Splash Damage is cutting monetization from its free-to-play game Dirty Bomb ,http://www.gamasutra.com/view/news/333973/Splash_Damage_is_cutting_monetization_from_its_freetoplay_game_Dirty_Bomb.php
Gris trailer rejected from Facebook for being 'sexually suggestive' ,http://www.gamasutra.com/view/news/333981/Gris_trailer_rejected_from_Facebook_for_being_sexually_suggestive.php
"Facebook rejects Gris ad for ""sexually suggestive"" content: “First of all, she's a statue and second, absolutely no nudity is shown in that photo,"" says Devolver Digital",https://www.gamesindustry.biz/articles/2019-01-08-facebook-rejects-gris-ad-for-sexually-suggestive-content
Facebook Rejects GRIS Launch Trailer For Being Sexually Suggestive When It Clearly Is Not,https://www.techdirt.com/articles/20190108/10463441357/facebook-rejects-gris-launch-trailer-being-sexually-suggestive-when-it-clearly-is-not.shtml
Star Control makers defend DMCA takedown against Star Control: Origins ,http://www.gamasutra.com/view/news/333773/Star_Control_makers_defend_DMCA_takedown_against_Star_Control_Origins.php
"Star Control creators defend DMCA takedown notice against Stardock: Creators claim Star Control: Origins is ""substantially similar to and/or derivative of"" their copyrighted work",https://www.gamesindustry.biz/articles/2019-01-04-star-control-creators-defend-dmca-take-down-notice-against-stardock
Who Owns That Dance Move? ,https://www.lexology.com/library/detail.aspx?g=64c25c90-3747-453c-9d17-cdbf752da5c1
"Eugen Systems says devs were fired for 'misuse of tools,' not strike participation ",http://www.gamasutra.com/view/news/333780/Eugen_Systems_says_devs_were_fired_for_misuse_of_tools_not_strike_participation.php
"Eugen responds to accusation of retaliatory firings: Steel Division developer says dismissals unrelated to last year's strike, were due to use of ""a professional tool for an inappropriate purpose""",https://www.gamesindustry.biz/articles/2019-01-04-eugen-responds-to-accusation-of-retaliatory-firings
Twitch Re-Bans Creator Who Briefly Returned To Platform After Alleged Mid-Stream Assault,https://tubefilter.us1.list-manage.com/track/click?u=f2851f4d2ca0bc9451d398851&id=f9ed70c755&e=45729ae7ce
Games now account for over half of entire UK entertainment market ,http://www.gamasutra.com/view/news/333724/Games_now_account_for_over_half_of_entire_UK_entertainment_market.php
"Bonnie Ross: ""Diversity attracts diversity"" - 343 Industries boss on the need to present technology as a creative field to more young women and minorities",https://www.gamesindustry.biz/articles/2019-01-03-bonnie-ross-diversity-attracts-diversity
CVAA accessibility rules come into effect for games as FCC waiver expires ,http://www.gamasutra.com/view/news/333745/CVAA_accessibility_rules_come_into_effect_for_games_as_FCC_waiver_expires.php
New games must comply to accessibility guidelines after FCC waivers expire: Requirements affect in-game communications and related UI,https://www.gamesindustry.biz/articles/2019-01-04-new-games-must-comply-to-accessibility-guidelines-after-fcc-waivers-expire
"Tattoos, avatars and copyrights - a whole new world",https://www.lexology.com/library/detail.aspx?g=7f34674f-a850-47cf-ade1-533d984d1a27
Sony just acquired the gaming industry’s biggest audio toolset,https://arstechnica.com/gaming/2019/01/sony-just-acquired-the-gaming-industrys-biggest-audio-toolset/
Sony Interactive Entertainment to acquire Wwise owner Audiokinetic ,http://www.gamasutra.com/view/news/333967/Sony_Interactive_Entertainment_to_acquire_Wwise_owner_Audiokinetic.php
A New Game Console Is On The Way To Compete With PlayStation And Xbox: Exact specs haven't been confirmed yet.,https://www.gamespot.com/articles/a-new-game-console-is-on-the-way-to-compete-with-p/1100-6464117/
"Slightly Mad developing standalone, VR-supportive console: Project Cars 2 studio says The Mad Box will ship in about three years, won't court exclusives",https://www.gamesindustry.biz/articles/2019-01-02-slightly-mad-developing-standalone-vr-supportive-console
"Slightly Mad CEO shows off Mad Box concept designs: Ian Bell asserts studio isn't making a ""stinking black slider"" as he touts colorful designs, handles, and light weight",https://www.gamesindustry.biz/articles/2019-01-07-slightly-mad-ceo-shows-off-mad-box-concept-designs
"What happens when you turn a studio upside down?: How everyone at Supercell, from new developers to CEO Ilkka Paananen, ensures the ""creative people are running the show"" at the studio behind Brawl Stars",https://www.gamesindustry.biz/articles/2019-01-07-what-happens-when-you-turn-a-studio-upside-down
Enduring and recovering from the long development of At the Gates ,http://www.gamasutra.com/view/news/334085/Enduring_and_recovering_from_the_long_development_of_At_the_Gates.php
"Don't Miss: Bury Me, My Love and the emotional rollercoaster of making a video game ",https://www.gamasutra.com/blogs/FlorentMaurin/20171208/311257/The_emotional_rollercoaster_of_making_a_video_game.php
"Rooster Teeth Announces First Original IP Video Game, ‘Vicious Circle’",https://www.tubefilter.com/2019/01/09/rooster-teeth-games-vicious-circle/
“TV doesn't trust games enough”: Go 8 Bit creator Steve McNeil discusses why broadcasters still struggle to embrace the power of video games,https://www.gamesindustry.biz/articles/2019-01-08-tv-doesnt-trust-games-enough
