"NoW January 23, 2019",,0
GAMES,,0
Westworld Mobile shuts down following Bethesda lawsuit ,,http://www.gamasutra.com/view/news/334581/Westworld_Mobile_shuts_down_following_Bethesda_lawsuit.php
Bethesda bans Fallout 76 players who accessed secret developer room ,,http://www.gamasutra.com/view/news/334635/Bethesda_bans_Fallout_76_players_who_accessed_secret_developer_room.php
Bethesda confirms bans for visiting hidden Fallout 76“developer room”,,https://arstechnica.com/gaming/2019/01/bethesda-confirms-bans-for-visiting-hidden-fallout-76-developer-room/
Star Control: Origins restored to Steam amid legal battle with series' creators,,http://www.gamesindustry.biz/articles/2019-01-21-star-control-origins-restored-to-steam-amid-legal-battle-with-series-creators
"Eximius developer uses DMCA to reclaim Steam page from publisher: Ammobox claims publisher TheGameWall Studios ""disappeared completely,"" after launch, and lost revenue worth six months of operating expenses",,https://www.gamesindustry.biz/articles/2019-01-21-developer-uses-dmca-to-reclaim-steam-page
Emulator project aims to resurrect classic Mac apps and games without the OS,,https://arstechnica.com/information-technology/2019/01/emulator-project-aims-to-resurrect-classic-mac-apps-and-games-without-the-os/
How machine learning is helping fans remaster retro classics ,,http://www.gamasutra.com/view/news/334771/How_machine_learning_is_helping_fans_remaster_retro_classics.php
Ubisoft issues apology for controversial Assassin's Creed Odyssey DLC ,,http://www.gamasutra.com/view/news/334647/Ubisoft_issues_apology_for_controversial_Assassins_Creed_Odyssey_DLC.php
Ubisoft Apologizes To Players For Assassin's Creed Odyssey DLC Controversy,,https://ca.ign.com/articles/2019/01/18/ubisoft-apologizes-to-players-for-assassins-creed-odyssey-dlc-controversy
Ubisoft apologises for forcing heterosexual romance in Assassin's Creed Odyssey DLC: Publisher explains story-based decision behind relationship but admits it was “poorly executed”,,https://www.gamesindustry.biz/articles/2019-01-17-ubisoft-apologises-for-forcing-heterosexual-romance-in-assassins-creed-odyssey-dlc
"Challenging the inevitability of online harassment | Opinion: Tackling harassment will be a long and bitter march, but understanding it is the first step",,https://www.gamesindustry.biz/articles/2019-01-21-challenging-the-inevitability-of-online-harassment-opinion
Tencent still absent from third round of Chinese game approvals ,,http://www.gamasutra.com/view/news/334887/Tencent_still_absent_from_third_round_of_Chinese_game_approvals.php
Tencent and NetEase absent from third wave of Chinese game approvals: No games from China's two key publishers have been included in the 257 cleared so far,,https://www.gamesindustry.biz/articles/2019-01-22-tencent-and-netease-still-absent-from-third-wave-of-chinese-game-approvals
My Time at Portia devs compensate voice actors for unpaid wages ,,http://www.gamasutra.com/view/news/334892/My_Time_at_Portia_devs_compensate_voice_actors_for_unpaid_wages.php
"Atlas Player Gets Into Admin's Account, Summons Swarm Of Whales And Other Mayhem",,https://kotaku.com/atlas-player-gets-into-admins-account-summons-swarm-of-1831870230
Former Heroes of the Storm team files suit against ex-owner for unpaid wages,,http://www.gamesindustry.biz/articles/2019-01-18-heroes-of-the-storm-team-files-suit-against-owner-for-over-usd50-000-in-unpaid-wages
Square Enix has trademarked the name of Octopath Traveler's art style ,,http://www.gamasutra.com/view/news/334817/Square_Enix_has_trademarked_the_name_of_Octopath_Travelers_art_style.php
"Square Enix trademarks terms for Octopath Traveler's visual style: The publisher now has trademarks for ""HD2D"" and ""HD-2D"" in Europe",,https://www.gamesindustry.biz/articles/2019-01-22-square-enix-trademarks-terms-for-octopath-travelers-visual-style
"Unity CEO clarifies Improbable violations, future plans in AMA: John Riccitiello emphasizes platform's ""developer-first"" focus as driving TOS changes",,https://www.gamesindustry.biz/articles/2019-01-16-unity-ceo-clarifies-improbable-violations-future-plans-in-ama
NBA extends partnership with NBA 2K publisher 2K ,,http://www.gamasutra.com/view/news/334616/NBA_extends_partnership_with_NBA_2K_publisher_2K.php
"Don't Miss: How working on gross, violent games can affect developers ",,http://gamasutra.com/view/news/252241/How_working_on_gross_violent_games_can_mess_with_developers.php
"Netflix: ""We compete with (and lose to) Fortnite more than HBO"" - TV and film streaming service points to Epic's battle royale title as a major competitor",,https://www.gamesindustry.biz/articles/2019-01-18-netflix-we-compete-with-and-lose-to-fortnite-more-than-hbo
Netflix thinks ‘Fortnite’ is a bigger threat than HBO,,https://techcrunch.com/2019/01/18/netflix-thinks-fortnite-is-a-bigger-threat-than-hbo/
Netflix claims Fortnite is now a bigger competitor than HBO ,,0
Insights: The Real Competition for Netflix Is…A Single Videogame? Yup.,,https://www.tubefilter.com/2019/01/22/netflix-competition-fortnite-video-game-insights/
"Cybersecurity firm exposes Fortnite vulnerability: If exploited, hackers could have viewed personal information, purchased items, and overheard chat through affected accounts",,https://www.gamesindustry.biz/articles/2019-01-16-cybersecurity-firm-exposes-fortnite-security-hole
